native_code,learner_code,url,article_id,title,published_date,grade,school_stage,genre_label,source_label,han_count,topic_tier,topic_score,status,reason,text_hash,query,nominal_length
NY2,Y2,https://www.zuowen.com/e/20250610/68479b4e1f0a0.shtml,3351170,高三议论文：家风 4,2025-06-10,高三,高中,议论文,网络转载,775,近似,92,候选,,2f2fc55aafebeda58b88c074c951e69abb7d7abd8ffa183600c426af21047f76,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20250610/68479af26d3aa.shtml,3351167,高三议论文：家风 1,2025-06-10,高三,高中,议论文,网络转载,876,近似,87,拒绝,正文汉字数超出200-787,cabe15059905c9076aa46cdbd6433d0cefdd631f6c2bcc3e8b241119b650edc7,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,1000
NY2,Y2,https://www.zuowen.com/e/20250610/68479b2b9cc1a.shtml,3351169,高三议论文：家风 3,2025-06-10,高三,高中,议论文,网络转载,699,近似,87,拒绝,标准化题目重复,98ee3f4cd0b7ae99f75065e6ca52a73b6d74ac0c2ff110d9e64d593ad5cf5e96,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20250610/68479b696b9de.shtml,3351171,高三议论文：家风 5,2025-06-10,高三,高中,议论文,网络转载,765,近似,85,拒绝,标准化题目重复,f4c2e706a9236e70c6f7f7866cba1256fba3c6f8b80f14fc9e1ead54f339a856,高中栏目:https://www.zuowen.com/gaozhong/gaosan/yilunwen/,800
NY2,Y2,https://www.zuowen.com/e/20250603/683e5d40b457e.shtml,3349869,高二议论文：论惩戒 5,2025-06-03,高二,高中,议论文,网络转载,771,近似,85,入选,,313c79ca23ccc923d61a8652eea2bc7a1aabbf57607815df7d71b35bdc22fdfc,高中栏目:https://www.zuowen.com/gaozhong/gaoer/yilunwen/,900
NY2,Y2,https://www.zuowen.com/e/20120808/5021f85f60101.shtml,2298876,言传身教,2012-08-08,未标注,未核验,,作文网原创,355,近似,78,拒绝,面包屑不属于允许的高中或初中备选作文,7816176d7bb781d7e526c0edf07d3a1bb7feae0e3dd8bf8637c5d1d3bfe78872,言传身教,450
NY2,Y2,https://www.zuowen.com/e/20141023/5448c1715618a.shtml,2729794,好家风伴我成长,2014-10-23,初二,未核验,,作文网原创,1156,近似,94,拒绝,面包屑不属于允许的高中或初中备选作文,e2ed30cb94186154466d80d6fd6ea7109caef85be0e81c5a1bd89008026680b4,高中 家风,1200
NY2,Y2,https://www.zuowen.com/e/20141010/543782afb6b16.shtml,2725797,好家风给我的教育,2014-10-10,初二,初中,叙事作文,作文网原创,665,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,d32b1f42860cacb2f2c85eeca20634e46586c9b37f9d753e0c534dc5134c21b4,高中 家风,800
NY2,Y2,https://www.zuowen.com/e/20140417/534f7fc710a90.shtml,2658010,我的好家风,2014-04-17,未标注,未核验,话题作文,转载,654,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,7cf2cb249607c647e49a57ead24b902bdbcd2766031d2bef35b6cc1000c0c96c,高中 家风,750
NY2,Y2,https://www.zuowen.com/e/20140531/53899cb1a08d0.shtml,2683433,家风,2014-05-31,未标注,未核验,,作文网原创,401,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,0b8e2e620d7c2367410d71b05dbd2a0236ec9bd0e57ead537d8064f4607b69ff,高中 家风,450
NY2,Y2,https://www.zuowen.com/e/20140923/54211fc96cec9.shtml,2724166,我家的家风,2014-09-23,未标注,未核验,叙事作文,作文网原创,510,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,a2ef5fecfb1089ac5d81a80f3aa24292dc2845bda39e90ec7ceee93e65c0a0ae,高中 家风,600
NY2,Y2,https://www.zuowen.com/e/20141205/548118e936ab9.shtml,2736610,家风伴我成长,2014-12-05,未标注,未核验,叙事作文,作文网原创,559,近似,85,拒绝,面包屑不属于允许的高中或初中备选作文,675a18ec1868caa7c7a3757ce39f44bc057733d9fc59b383e56dd5468966b916,高中 家风,650
NY2,Y2,https://www.zuowen.com/e/20141205/54817877ad5c3.shtml,2736822,家风伴我成长,2014-12-05,未标注,未核验,,作文网原创,457,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,e8267d593b2b92a0d3bdb03b69e8f56a363d39e45ee6bffef9fb001217dc3f82,高中 家风,500
NY2,Y2,https://www.zuowen.com/e/20141202/547d193698a03.shtml,2735565,家风伴我成长,2014-12-02,未标注,未核验,,作文网原创,541,近似,85,拒绝,面包屑不属于允许的高中或初中备选作文,c1c45945cba91b6b8d031508a83a11fedd116b514d6f4431cf3cd7369b1171a6,高中 家风,650
NY2,Y2,https://www.zuowen.com/e/20140421/5354c9fcc81e0.shtml,2661858,我家的家风,2014-04-21,未标注,未核验,叙事作文,作文网原创,646,近似,81,拒绝,面包屑不属于允许的高中或初中备选作文,fb285b6079d63b3f7e7b8bdd2a87920b3be9b47260261442331f9bb95a733a1c,高中 家风,750
NY2,Y2,https://www.zuowen.com/e/20140829/54005b1a23089.shtml,2718859,家训、家风伴我成长,2014-08-29,初二,初中,,作文网整理,911,精确,118,拒绝,面包屑不属于允许的高中或初中备选作文,65fb3e23d07574d09a99576e6ea97582303582df8c30361dadb59ed739f5a0d1,高中 家风,
NY2,Y2,https://www.zuowen.com/e/20141128/54782ee8ef5f4.shtml,2735304,好家风成就了我,2014-11-28,未标注,未核验,,作文网原创,786,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,a52ce8cca1a34a52641c9c70309b0b961f88125b2ded0da2488e33c82c4556b3,高中 家风,900
NY2,Y2,https://www.zuowen.com/e/20150204/54d1906829a57.shtml,2747652,晒家风,2015-02-04,初二,初中,叙事作文,作文网原创,464,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,77d1ca883fb9182c7705295f86ea9e1993c5ad1c4404d609d696dc23df44463d,高中 家风,500
NY2,Y2,https://www.zuowen.com/e/20150303/54f5be39c04ee.shtml,2748932,优良家风的好处,2015-03-03,初二,初中,议论文,作文网原创,545,近似,85,拒绝,面包屑不属于允许的高中或初中备选作文,6311ce3f5b63505dc7912f5cf0931a04852bc428a8b3abcdab6b03d3051f8e8c,高中 家风,700
NY2,Y2,https://www.zuowen.com/e/20150811/55c9a8b7bfe97.shtml,2783937,我的好家风,2015-08-11,初三,初中,叙事作文,作文网原创,1105,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,5724b0ed9c073a8b6e2cc6c655c09d644226a3c57037c68c86aa50f812c282e3,高中 家风,1200
NY2,Y2,https://www.zuowen.com/e/20150511/55507d3f975a2.shtml,2768257,家风,2015-05-11,未标注,未核验,,作文网原创,198,近似,85,拒绝,面包屑不属于允许的高中或初中备选作文,4fe9cec0f3f948e1af76fc1a686b25da8b75e3aa10e16a3b81e442f9dabcf3b3,高中 家风,300
NY2,Y2,https://www.zuowen.com/e/20150126/54c5f9638128c.shtml,2746079,我家的家风,2015-01-26,未标注,未核验,,作文网原创,953,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,4f4b7793eb302c2a343678fa7830275e0394185a21774ad406523dea53deb5a2,高中 家风,1200
NY2,Y2,https://www.zuowen.com/e/20150710/559fd3765965a.shtml,2778995,家风伴我成长,2015-07-10,初一,未核验,,作文网原创,799,近似,84,拒绝,面包屑不属于允许的高中或初中备选作文,275469c46a35c5150fb9faff753a58227f17d124b8041cdc63946cf9865f6f26,高中 家风,900
NY2,Y2,https://www.zuowen.com/e/20150811/55c9a7dae2cfa.shtml,2783921,我说我的家风家训,2015-08-11,未标注,未核验,叙事作文,作文网原创,592,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,7956c19ce14d90d4424a0b8ea2f4de1386d1a41554cb86fc093e258e68b9cec5,高中 家风,650
NY2,Y2,https://www.zuowen.com/e/20150413/552b8731181d2.shtml,2758865,我家的家风家训,2015-04-13,未标注,未核验,,作文网原创,521,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,904e036f5c91fd5cca35e5082b4564bdc24eb3c11bdc6e90a1177e0446ecca6d,高中 家风,600
NY2,Y2,https://www.zuowen.com/e/20160108/568f7245d0b1a.shtml,2802624,议论文论据：家风,2016-01-08,未标注,未核验,议论文,作文网整理,885,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,ef29a9b275773d6be59b5faaa07952def88686ee1672c63241d91bd718fe5bdc,高中 家风,
NY2,Y2,https://www.zuowen.com/e/20160509/572f6f5d95fd9.shtml,2917360,好家风伴我行,2016-05-09,初二,初中,,作文网原创,899,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,67f47f83e146525a58470b901d31ea70581e0e3914f5c91c81903f8981585dfa,高中 家风,1200
NY2,Y2,https://www.zuowen.com/e/20161229/586476f18ef58.shtml,2939055,我的家风,2016-12-29,未标注,未核验,,作文网原创,387,近似,83,拒绝,面包屑不属于允许的高中或初中备选作文,f41dd329d421314182bf6ea031d76d811f3d6b72681514a96936884f33bbd892,高中 家风,550
NY2,Y2,https://www.zuowen.com/e/20160221/56c9454067af2.shtml,2887124,我们的家风,2016-02-21,未标注,未核验,,作文网原创,474,近似,84,拒绝,面包屑不属于允许的高中或初中备选作文,b79dbeb23408c28452f5c2560f64eb1286de177a7307cacbcef3ffd007d8fc66,高中 家风,550
NY2,Y2,https://www.zuowen.com/e/20160525/57456708a0b62.shtml,2919336,我的家风故事,2016-05-25,未标注,未核验,,作文网原创,956,近似,82,拒绝,面包屑不属于允许的高中或初中备选作文,304e94d76e8c51de8111c4ee57a0de6477db7e893d525fca336d656da7783b6d,高中 家风,1200
NY2,Y2,https://www.zuowen.com/e/20160316/56e981561b5ac.shtml,2912458,家风,2016-03-16,高一,高中,叙事作文,作文网原创,700,近似,84,拒绝,体裁不是议论文,1e480254368e69c11f80232722f148b467898c24dd225d977f3ef4f1b76b3e39,高中 家风,800
NY2,Y2,https://www.zuowen.com/e/20170810/598bc2aab2039.shtml,2951402,家风,2017-08-10,未标注,未核验,话题作文,本站原创,807,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,1aa6d2ab8ccfb524284314305f6a8d530df009dfc8dd9bdf9bbbbb6fd7a1e7c6,高中 家风,900
NY2,Y2,https://www.zuowen.com/e/20170808/59892a3c9454f.shtml,2951270,家风,2017-08-08,未标注,未核验,,作文网原创,813,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,588c0a6dc0f8aee15f9c0a1fdb66223156bd0c6435243334600a0d9cfc88781e,高中 家风,900
NY2,Y2,https://www.zuowen.com/e/20170414/58f07d4caed6c.shtml,2944155,家风家训?言传身教,2017-04-14,初一,未核验,,作文网原创,701,近似,92,拒绝,面包屑不属于允许的高中或初中备选作文,dc9b21ddd18713bcece96ed10be70c6f9440d4b164121160cc90e94d5acfeb90,言传身教,800
NY2,Y2,https://www.zuowen.com/e/20170922/59c4c367d2dcc.shtml,2953973,我的家风故事,2017-09-22,初一,初中,叙事作文,本站原创,961,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,8194434f51f1cde80bb0299a70eca48eda9f1811983bf6f5ac7b40ece3f5e1f5,高中 家风,1000
NY2,Y2,https://www.zuowen.com/e/20170320/58cf9e827dcf7.shtml,2942680,我的家风家训,2017-03-20,未标注,未核验,,作文网原创,279,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,75aa71da17085ff45e6f1d263fc2591a8be77633d31507be62ad90b295a7e682,高中 家风,300
NY2,Y2,https://www.zuowen.com/e/20170310/58c26f1899efb.shtml,2942270,说说我的家风,2017-03-10,未标注,未核验,,作文网原创,856,近似,89,拒绝,面包屑不属于允许的高中或初中备选作文,82aaf4525b764bbbade744830a58ccc7241b9e2a755a4224d303f85511ce40a7,高中 家风,1000
NY2,Y2,https://www.zuowen.com/e/20170209/589c2e5a406d7.shtml,2940844,好家风好家训,2017-02-09,初二,未核验,,作文网原创,660,近似,82,拒绝,面包屑不属于允许的高中或初中备选作文,7a248ae32e4e12307ac423464d2dc9b7422cc823036d53cea3b76dcb9ed51b43,高中 家风,750
NY2,Y2,https://www.zuowen.com/e/20180131/5a715b7f3a895.shtml,2964158,家风家训•言传身教,2018-01-31,未标注,未核验,,本站原创,701,近似,92,拒绝,面包屑不属于允许的高中或初中备选作文,d4b773d893b5f1044663b79f3b09690343235fba2d38f1d68b02d968516715fe,言传身教,750
NY2,Y2,https://www.zuowen.com/e/20180131/5a715d6ca71ce.shtml,2964166,我的家风故事,2018-01-31,未标注,未核验,,本站原创,961,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,8194434f51f1cde80bb0299a70eca48eda9f1811983bf6f5ac7b40ece3f5e1f5,高中 家风,1000
NY2,Y2,https://www.zuowen.com/e/20180131/5a715d9f618b5.shtml,2964167,我家的家风,2018-01-31,未标注,未核验,,本站原创,618,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,35ade12b01b887d2961520a3426781f82f4f547fc0776bcd59ed47a22d3d111c,高中 家风,700
NY2,Y2,https://www.zuowen.com/e/20180131/5a715f808216d.shtml,2964169,好家风激励我成长,2018-01-31,未标注,未核验,,本站原创,673,近似,90,拒绝,面包屑不属于允许的高中或初中备选作文,066d1c4f69d82e7fab33ccba958588931fe47ea07fce17ea3a9dee40377f0ab5,高中 家风,750
NY2,Y2,https://www.zuowen.com/e/20180131/5a715ba851891.shtml,2964159,我的家风家训,2018-01-31,未标注,未核验,,本站原创,273,近似,85,拒绝,面包屑不属于允许的高中或初中备选作文,bef916fe9e75c42d36d532a00d8a830fb35e7e2952840442371c890330f58657,高中 家风,300
NY2,Y2,https://www.zuowen.com/e/20180911/5b978a31a842d.shtml,3009255,时事论据：家风,2018-09-11,未标注,未核验,,作文网整理,665,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,16ab3afc4c001374aedd824cb7d46e38d348d25cce2fa52d50b83ad832dd94f2,高中 家风,750
NY2,Y2,https://www.zuowen.com/e/20181123/5bf7b2cfb98a5.shtml,3012887,我家的家风家训,2018-11-23,未标注,未核验,,本站原创,312,近似,85,拒绝,面包屑不属于允许的高中或初中备选作文,52e89e9a328642fe9bffdf802746d549593a9e226e554404dd0861c37c0f97e4,高中 家风,350
NY2,Y2,https://www.zuowen.com/e/20180122/5a65824d66706.shtml,2963267,我的家风,2018-01-22,未标注,未核验,叙事作文,本站原创,382,近似,83,拒绝,面包屑不属于允许的高中或初中备选作文,4b6a0447af62f6e2acfc88fe424784ad5f2965f3e5e9f5f88aeb3e5260178a07,高中 家风,400
NY2,Y2,https://www.zuowen.com/e/20180313/5aa7915adfff1.shtml,2967409,我家的家风,2018-03-13,初一,未核验,,作文网原创,531,近似,89,拒绝,面包屑不属于允许的高中或初中备选作文,2d77e813a57f3612386fb83af1d0995b0da3bc965a89e9cb8150abfada2d5614,高中 家风,600
NY2,Y2,https://www.zuowen.com/e/20180419/5ad7f45f72e5e.shtml,2970645,家风,2018-04-19,未标注,未核验,,作文网原创,581,不匹配,5,拒绝,面包屑不属于允许的高中或初中备选作文,ce3c6a31590f4ac84ec6f0f6d513d206c85c9b9e24be92979625497a23e4eb1e,高中 家风,700
NY2,Y2,https://www.zuowen.com/e/20180619/5b286e90781dc.shtml,2981987,家风,2018-06-19,未标注,未核验,,本站原创,378,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,ef750b6aea56c25924b6b52a3326d63f299b7e054c6b36b19304b12b67e8114a,高中 家风,450
NY2,Y2,https://www.zuowen.com/e/20181123/5bf7b1ce62322.shtml,3012885,家风伴我成长,2018-11-23,未标注,未核验,话题作文,本站原创,471,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,18d5fe6247953c66339fc164e35c787fa368171e8d1d4d0756f147c5a1fc82b6,高中 家风,550
NY2,Y2,https://www.zuowen.com/e/20180131/5a715cb4caba2.shtml,2964162,我家的家风家训,2018-01-31,未标注,未核验,,本站原创,1054,近似,84,拒绝,面包屑不属于允许的高中或初中备选作文,0449de9fcaccc0f6efd1cc2db679d3ad309e858a1e03e2a6b7be95422260b902,高中 家风,1200
NY2,Y2,https://www.zuowen.com/e/20180408/5ac9c331e0bce.shtml,2969269,家风，家教，家训,2018-04-08,未标注,未核验,,本站原创,657,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,b710fde1fc314ec96fab7665cbdeea5e733d18cdf2d2da79fb5def02a5df8e13,高中 家风,750
NY2,Y2,https://www.zuowen.com/e/20200128/5e303096b8a62.shtml,3051593,关于家风家训 的作文：家风,2020-01-28,未标注,未核验,,网络资源,368,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,0d770e0637162bfd9a9bd27920b40f048c29347ffbb0dc6cdfb8775964e91c12,高中 家风,450
NY2,Y2,https://www.zuowen.com/e/20200128/5e302c52ad996.shtml,3051571,关于家风家训 的作文：我家家风家训,2020-01-28,未标注,未核验,,网络资源,601,近似,89,拒绝,面包屑不属于允许的高中或初中备选作文,61a81bb2c78dbaddd95d8847bca8eac9c0e117b37e6b023c44f9ba4c31842f4e,高中 家风,700
NY2,Y2,https://www.zuowen.com/e/20200312/5e6a0d8251fe9.shtml,3066375,关于风的作文：家风,2020-03-12,未标注,未核验,,网络资源,547,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,a0b2503f424aa7f75d3ee9b2adae9bcc3247847688a6c6d79d2b36a17bb1cbb4,高中 家风,650
NY2,Y2,https://www.zuowen.com/e/20200128/5e302bd2355b6.shtml,3051568,关于家风家训 的作文：我家的家风家训,2020-01-28,未标注,未核验,,网络资源,487,近似,89,拒绝,面包屑不属于允许的高中或初中备选作文,ce0527d8f0db2e1dbccd3a58b91900406a093dbcea9efd289366b0650a99756f,高中 家风,550
NY2,Y2,https://www.zuowen.com/e/20200128/5e30318eaca96.shtml,3051597,关于家风家训 的作文：家风伴我成长,2020-01-28,未标注,未核验,,网络资源,468,近似,88,拒绝,面包屑不属于允许的高中或初中备选作文,7372224dbc1300bd5ddfd5dbef19c40d1389acb7b2669bea2d9ff34beb9a7100,高中 家风,550
NY2,Y2,https://www.zuowen.com/e/20200128/5e3033f1a6189.shtml,3051608,关于家风家训 的作文：家风家训家规,2020-01-28,未标注,未核验,,网络资源,436,近似,85,拒绝,面包屑不属于允许的高中或初中备选作文,c1248cb0ed834c968963cfa09a0116a37f4b25d8d0fbec277d070c771b660917,高中 家风,500
NY2,Y2,https://www.zuowen.com/e/20200128/5e30354ac9f3f.shtml,3051618,关于家风家训 的作文：家风家训,2020-01-28,未标注,未核验,,网络资源,662,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,a49b1d4217dfa02ac563f650c706b9894721aeac3d6ab696e0c5db2e6bd4e41f,高中 家风,800
NY2,Y2,https://www.zuowen.com/e/20200128/5e302c33690ae.shtml,3051570,关于家风家训 的作文：我家家风家训,2020-01-28,未标注,未核验,,网络资源,586,近似,89,拒绝,面包屑不属于允许的高中或初中备选作文,3b89b7c9f6709b346e898cc1a838ee04761cb76ff1e17e81442eee2d02224d59,高中 家风,650
NY2,Y2,https://www.zuowen.com/e/20200128/5e302c6d9a084.shtml,3051572,关于家风家训 的作文：我家家风家训,2020-01-28,未标注,未核验,,网络资源,511,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,b461809fc5b2598c1ea927031e3f1e18efbd2134ddbfc88690fcf30c619b1906,高中 家风,600
NY2,Y2,https://www.zuowen.com/e/20200128/5e302cb86184b.shtml,3051574,关于家风家训 的作文：时光流转家风永传,2020-01-28,未标注,未核验,,网络资源,886,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,8ee4fb380c745d34ed45dec6be2b118f1e7235e895747636e00e97688708e624,高中 家风,1000
NY2,Y2,https://www.zuowen.com/e/20200128/5e302dab1e897.shtml,3051580,关于家风家训 的作文：我的家风家训,2020-01-28,未标注,未核验,,网络资源,553,精确,117,拒绝,面包屑不属于允许的高中或初中备选作文,076fb73e0e39bc9790c12f66a98fd490a9da21cf24d8d19c444afd11fe74ec2a,高中 家风,650
NY2,Y2,https://www.zuowen.com/e/20200128/5e302ec946133.shtml,3051584,关于家风家训 的作文：家风,2020-01-28,未标注,未核验,,网络资源,841,近似,87,拒绝,面包屑不属于允许的高中或初中备选作文,b2ceee699d38ce2829218cd92dff19a47f6d3527820515824db3f401264c805a,高中 家风,900
NY2,Y2,https://www.zuowen.com/e/20200128/5e302fd0ddae3.shtml,3051590,关于家风家训 的作文：家风助我成长,2020-01-28,未标注,未核验,,网络资源,644,近似,86,拒绝,面包屑不属于允许的高中或初中备选作文,d5adf4baca28e9ae0b8ae113e9ee8f5181196fda2f8e8863a22c9e544127d5ea,高中 家风,750
