大类,特征名,词项,允许词性前缀,来源说明
复句关系,转折复句标记,尽管,c|d,刘艳春论文附录第67项并采用保守关系标记
复句关系,转折复句标记,反而,d|c,刘艳春论文附录第67项并采用保守关系标记
复句关系,条件复句标记,只要,c,刘艳春论文附录第69项并采用保守关系标记
复句关系,条件复句标记,只有,c|d,刘艳春论文附录第69项并采用保守关系标记
复句关系,条件复句标记,除非,c,刘艳春论文附录第69项并采用保守关系标记
复句关系,条件复句标记,一旦,c|d,刘艳春论文附录第69项并采用保守关系标记
复句关系,条件复句标记,无论,c,刘艳春论文附录第69项并采用保守关系标记
复句关系,条件复句标记,不管,c|v,刘艳春论文附录第69项并采用保守关系标记
复句关系,假设复句标记,如果,c,刘艳春论文附录第68项并采用保守关系标记
复句关系,假设复句标记,要是,c,刘艳春论文附录第68项并采用保守关系标记
复句关系,假设复句标记,假如,c,刘艳春论文附录第68项并采用保守关系标记
复句关系,假设复句标记,假若,c,刘艳春论文附录第68项并采用保守关系标记
复句关系,假设复句标记,倘若,c,刘艳春论文附录第68项并采用保守关系标记
复句关系,假设复句标记,即使,c,刘艳春论文附录第68项并采用保守关系标记
复句关系,假设复句标记,哪怕,c,刘艳春论文附录第68项并采用保守关系标记
复句关系,目的复句标记,为了,p|c,刘艳春论文附录第65项并采用保守关系标记
复句关系,目的复句标记,以便,c,刘艳春论文附录第65项并采用保守关系标记
复句关系,目的复句标记,以免,c,刘艳春论文附录第65项并采用保守关系标记
复句关系,目的复句标记,免得,c,刘艳春论文附录第65项并采用保守关系标记
复句关系,目的复句标记,好让,c,刘艳春论文附录第65项并采用保守关系标记
复句关系,目的复句标记,为的是,p|v,刘艳春论文附录第65项并采用保守关系标记
复句关系,递进复句标记,而且,c,刘艳春论文的复句类型体系并采用保守关系标记
复句关系,递进复句标记,甚至,d|c,刘艳春论文的复句类型体系并采用保守关系标记
复句关系,递进复句标记,不仅,c|d,刘艳春论文的复句类型体系并采用保守关系标记
复句关系,递进复句标记,不但,c|d,刘艳春论文的复句类型体系并采用保守关系标记
复句关系,递进复句标记,何况,c,刘艳春论文的复句类型体系并采用保守关系标记
复句关系,递进复句标记,况且,c,刘艳春论文的复句类型体系并采用保守关系标记
复句关系,并列复句标记,并且,c,刘艳春论文附录第64项并采用保守关系标记
复句关系,并列复句标记,同时,c|d,刘艳春论文附录第64项并采用保守关系标记
复句关系,并列复句标记,以及,c,刘艳春论文附录第64项并采用保守关系标记
复句关系,并列复句标记,一边,d|c,刘艳春论文附录第64项并采用保守关系标记
复句关系,并列复句标记,一方面,d|c,刘艳春论文附录第64项并采用保守关系标记
复句关系,并列复句标记,另一方面,d|c,刘艳春论文附录第64项并采用保守关系标记
复句关系,承接复句标记,首先,d,刘艳春论文复句体系的项目保守扩展
复句关系,承接复句标记,然后,c|d,刘艳春论文复句体系的项目保守扩展
复句关系,承接复句标记,接着,c|d|v,刘艳春论文复句体系的项目保守扩展
复句关系,承接复句标记,随后,d,刘艳春论文复句体系的项目保守扩展
复句关系,承接复句标记,继而,c|d,刘艳春论文复句体系的项目保守扩展
复句关系,承接复句标记,后来,d|t,刘艳春论文复句体系的项目保守扩展
复句关系,承接复句标记,最后,d|t,刘艳春论文复句体系的项目保守扩展
复句关系,承接复句标记,随即,d,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,总之,c|d,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,总而言之,c|d,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,综上所述,c|d|g,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,由此可见,c|d|g,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,例如,v|c|d,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,比如,v|c|d,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,譬如,v|c|d,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,也就是说,c|d|v,刘艳春论文复句体系的项目保守扩展
复句关系,解说复句标记,换句话说,c|d|v,刘艳春论文复句体系的项目保守扩展
