大类,特征名,词项,允许词性前缀,来源说明
记叙描写,动作动词,唉声叹气,v|g,徐勤2023第3章动作动词示例
记叙描写,动作动词,安装,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,按摩,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,昂首阔步,v|g,徐勤2023第3章动作动词示例
记叙描写,动作动词,拔草,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,拔除,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,拔掉,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,拔锚,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,把守,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,摆放,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,摆弄,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,摆手,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,伴唱,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,伴舞,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,伴奏,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,绑架,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,包扎,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,包装,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,剥,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,保管,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,保卫,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,抱,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,刨,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,背书,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,背诵,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,播种,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,唱歌,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,拆迁,v,徐勤2023第3章动作动词示例
记叙描写,动作动词,打,v,项目保守示例表v1
记叙描写,动作动词,看,v,项目保守示例表v1
记叙描写,动作动词,走,v,项目保守示例表v1
记叙描写,动作动词,跑,v,项目保守示例表v1
记叙描写,动作动词,拿,v,项目保守示例表v1
记叙描写,动作动词,放,v,项目保守示例表v1
记叙描写,动作动词,坐,v,项目保守示例表v1
记叙描写,动作动词,站,v,项目保守示例表v1
记叙描写,动作动词,吃,v,项目保守示例表v1
记叙描写,动作动词,喝,v,项目保守示例表v1
记叙描写,动作动词,写,v,项目保守示例表v1
记叙描写,动作动词,读,v,项目保守示例表v1
记叙描写,动作动词,学习,v,项目保守示例表v1
记叙描写,动作动词,工作,v,项目保守示例表v1
记叙描写,动作动词,玩,v,项目保守示例表v1
记叙描写,心理动词,认为,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,相信,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,以为,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,怀疑,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,疑惑,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,推断,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,推测,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,想象,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,思索,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,看来,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,觉得,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,想,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,希望,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,喜欢,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,讨厌,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,担心,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,记得,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,忘,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,明白,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,知道,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,认识,v,徐勤2023第3章心理动词词项
记叙描写,心理动词,理解,v,徐勤2023第3章心理动词词项
记叙描写,言说动词,说,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,告诉,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,问,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,回答,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,答复,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,安慰,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,劝,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,叫,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,喊,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,谈,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,介绍,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,解释,v,徐勤2023第3章言说动词词项
记叙描写,言说动词,表示,v,徐勤2023第3章言说动词词项
记叙描写,程度副词,很,d,徐勤2023第3章ID32-46
记叙描写,程度副词,最,d,徐勤2023第3章ID32-46
记叙描写,程度副词,太,d,徐勤2023第3章ID32-46
记叙描写,程度副词,极,d,徐勤2023第3章ID32-46
记叙描写,程度副词,更,d,徐勤2023第3章ID32-46
记叙描写,程度副词,挺,d,徐勤2023第3章ID32-46
记叙描写,程度副词,越,d,徐勤2023第3章ID32-46
记叙描写,程度副词,十分,d,徐勤2023第3章ID32-46
记叙描写,程度副词,多么,d,徐勤2023第3章ID32-46
记叙描写,程度副词,有点儿,d,徐勤2023第3章ID32-46
记叙描写,程度副词,差不多,d,徐勤2023第3章ID32-46
记叙描写,程度副词,几乎,d,徐勤2023第3章ID32-46
记叙描写,程度副词,稍,d,徐勤2023第3章ID32-46
记叙描写,程度副词,稍微,d,徐勤2023第3章ID32-46
记叙描写,程度副词,略微,d,徐勤2023第3章ID32-46
记叙描写,程度副词,非常,d,徐勤2023第3章ID32-46
记叙描写,程度副词,分外,d,徐勤2023第3章ID32-46
记叙描写,程度副词,格外,d,徐勤2023第3章ID32-46
记叙描写,程度副词,过于,d,徐勤2023第3章ID32-46
记叙描写,程度副词,极度,d,徐勤2023第3章ID32-46
记叙描写,程度副词,极其,d,徐勤2023第3章ID32-46
记叙描写,程度副词,相当,d,徐勤2023第3章ID32-46
记叙描写,程度副词,比较,d,徐勤2023第3章ID32-46
记叙描写,程度副词,更加,d,徐勤2023第3章ID32-46
记叙描写,程度副词,越发,d,徐勤2023第3章ID32-46
记叙描写,程度副词,尤其,d,徐勤2023第3章ID32-46
记叙描写,程度副词,特别,d,徐勤2023第3章ID32-46
记叙描写,程度副词,异常,d,徐勤2023第3章ID32-46
记叙描写,程度副词,较为,d,徐勤2023第3章ID32-46
记叙描写,程度副词,极为,d,徐勤2023第3章ID32-46
记叙描写,程度副词,不大,d,徐勤2023第3章ID32-46
记叙描写,程度副词,蛮,d,徐勤2023第3章ID32-46
记叙描写,正面评价词,好,a|z|v,项目保守示例表v1
记叙描写,正面评价词,优秀,a|z|v,项目保守示例表v1
记叙描写,正面评价词,伟大,a|z|v,项目保守示例表v1
记叙描写,正面评价词,勇敢,a|z|v,项目保守示例表v1
记叙描写,正面评价词,聪明,a|z|v,项目保守示例表v1
记叙描写,正面评价词,大方,a|z|v,项目保守示例表v1
记叙描写,正面评价词,善良,a|z|v,项目保守示例表v1
记叙描写,正面评价词,热情,a|z|v,项目保守示例表v1
记叙描写,正面评价词,认真,a|z|v,项目保守示例表v1
记叙描写,正面评价词,努力,a|z|v,项目保守示例表v1
记叙描写,正面评价词,可爱,a|z|v,项目保守示例表v1
记叙描写,正面评价词,漂亮,a|z|v,项目保守示例表v1
记叙描写,正面评价词,幸福,a|z|v,项目保守示例表v1
记叙描写,正面评价词,成功,a|z|v,项目保守示例表v1
记叙描写,正面评价词,重要,a|z|v,项目保守示例表v1
记叙描写,正面评价词,有名,a|z|v,项目保守示例表v1
记叙描写,正面评价词,自信,a|z|v,项目保守示例表v1
记叙描写,正面评价词,友好,a|z|v,项目保守示例表v1
记叙描写,正面评价词,耐心,a|z|v,项目保守示例表v1
记叙描写,负面评价词,坏,a|z|v,项目保守示例表v1
记叙描写,负面评价词,懒惰,a|z|v,项目保守示例表v1
记叙描写,负面评价词,自私,a|z|v,项目保守示例表v1
记叙描写,负面评价词,粗心,a|z|v,项目保守示例表v1
记叙描写,负面评价词,冷漠,a|z|v,项目保守示例表v1
记叙描写,负面评价词,胆小,a|z|v,项目保守示例表v1
记叙描写,负面评价词,愚蠢,a|z|v,项目保守示例表v1
记叙描写,负面评价词,讨厌,a|z|v,项目保守示例表v1
记叙描写,负面评价词,难过,a|z|v,项目保守示例表v1
记叙描写,负面评价词,痛苦,a|z|v,项目保守示例表v1
记叙描写,负面评价词,失败,a|z|v,项目保守示例表v1
记叙描写,负面评价词,可怕,a|z|v,项目保守示例表v1
记叙描写,负面评价词,紧张,a|z|v,项目保守示例表v1
记叙描写,负面评价词,生气,a|z|v,项目保守示例表v1
记叙描写,负面评价词,失望,a|z|v,项目保守示例表v1
记叙描写,负面评价词,遗憾,a|z|v,项目保守示例表v1
记叙描写,负面评价词,孤独,a|z|v,项目保守示例表v1
记叙描写,负面评价词,困难,a|z|v,项目保守示例表v1
记叙描写,负面评价词,危险,a|z|v,项目保守示例表v1
记叙描写,负面评价词,严重,a|z|v,项目保守示例表v1
